3595, 0
2142, 1
1833, 2
1771, 3
1762, 4
1808, 5
1810, 6
1749, 7
1809, 8
1737, 9
1727, 10
1733, 11
1749, 12
1747, 13
1892, 14
1731, 15
1707, 16
1818, 17
1750, 18
1749, 19
1752, 20
1716, 21
1822, 22
1732, 23
1733, 24
1764, 25
1762, 26
1793, 27
1784, 28
1705, 29
1761, 30
1746, 31
1751, 32
1813, 33
1756, 34
1743, 35
1773, 36
1755, 37
1742, 38
1747, 39
1746, 40
1744, 41
1740, 42
1831, 43
1828, 44
1769, 45
1722, 46
1749, 47
1757, 48
1764, 49
1720, 50
1831, 51
1742, 52
1765, 53
1733, 54
1816, 55
1765, 56
1868, 57
1788, 58
7561, 59
1801, 60
1741, 61
1812, 62
1762, 63
1743, 64
1779, 65
1790, 66
1827, 67
1834, 68
1750, 69
1742, 70
1784, 71
1742, 72
1751, 73
1726, 74
1826, 75
1769, 76
1750, 77
1735, 78
1741, 79
1921, 80
1751, 81
1750, 82
1773, 83
1749, 84
1795, 85
1830, 86
1803, 87
1737, 88
1822, 89
1750, 90
1801, 91
1725, 92
1752, 93
1776, 94
1756, 95
1918, 96
1792, 97
1826, 98
1777, 99
1759, 100
1817, 101
1796, 102
1759, 103
1760, 104
1822, 105
1820, 106
1756, 107
1745, 108
1797, 109
1829, 110
1753, 111
1744, 112
1767, 113
1812, 114
1855, 115
1852, 116
1767, 117
1713, 118
1970, 119
1873, 120
1758, 121
1752, 122
1732, 123
1808, 124
1775, 125
1835, 126
1737, 127
1777, 128
1816, 129
1915, 130
1862, 131
1751, 132
1729, 133
1792, 134
1749, 135
1741, 136
1740, 137
1726, 138
1798, 139
1782, 140
1749, 141
1825, 142
1759, 143
3587, 144
1752, 145
1852, 146
1759, 147
1744, 148
1731, 149
1725, 150
1724, 151
1738, 152
1787, 153
1809, 154
1746, 155
1754, 156
1703, 157
1877, 158
1838, 159
1767, 160
1707, 161
1761, 162
1879, 163
1855, 164
1825, 165
1810, 166
1758, 167
1760, 168
1813, 169
1758, 170
1710, 171
1750, 172
1814, 173
1789, 174
1758, 175
1772, 176
1730, 177
1709, 178
1751, 179
1854, 180
1783, 181
1722, 182
1761, 183
1943, 184
1836, 185
1744, 186
1737, 187
1793, 188
1761, 189
1748, 190
1782, 191
1757, 192
1805, 193
1748, 194
1724, 195
1783, 196
1787, 197
1835, 198
1758, 199
1846, 200
1724, 201
1817, 202
1736, 203
1768, 204
1837, 205
1818, 206
1766, 207
1824, 208
1788, 209
1782, 210
1760, 211
1903, 212
1835, 213
1747, 214
1788, 215
1823, 216
1712, 217
2574, 218
2501, 219
2547, 220
2407, 221
1751, 222
1804, 223
1703, 224
1735, 225
1764, 226
1793, 227
1807, 228
1801, 229
3657, 230
1746, 231
1821, 232
1844, 233
1938, 234
1816, 235
1803, 236
1702, 237
1764, 238
1695, 239
1736, 240
1763, 241
1786, 242
1784, 243
1839, 244
1779, 245
1734, 246
1808, 247
1840, 248
1742, 249
1815, 250
1780, 251
1820, 252
1742, 253
1800, 254
1813, 255
1784, 256
1791, 257
1747, 258
1834, 259
1939, 260
1752, 261
1803, 262
1799, 263
1708, 264
1746, 265
1818, 266
1743, 267
1731, 268
1727, 269
1768, 270
1734, 271
1741, 272
1724, 273
1752, 274
1716, 275
1767, 276
1898, 277
1405, 278
1411, 279
1379, 280
1411, 281
1423, 282
1457, 283
